fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220523 214756	-0.263711338794383	3334	193	14	5	9694000	1
20220523 214824	-0.865057432507456	4532	796	19	5	8574000	2
20220523 214849	-0.55266491210059	6950	884	9	5	8101000	3
20220523 214917	-0.396337293993565	2795	1339	13	5	8378000	4
20220523 214943	-0.64236838787474	3603	312	8	5	9282000	5
20220523 215015	-0.200345621263841	5007	698	17	5	8676000	6
20220523 215046	-0.94632623756479	1512	518	11	5	10750000	7
20220523 215104	-0.358012007077923	5924	1160	5	5	8103000	8
20220523 215124	-0.790216474163753	7117	1901	6	5	7831000	9
20220523 215139	0.0552425758258324	7854	1420	19	5	0	10
20220523 215207	-0.0387284119438845	6398	99	10	5	7714000	11
20220523 215234	-0.686021326581249	4310	1011	17	5	8976000	12
20220523 215256	-0.0470093909534625	5561	1479	7	5	8066000	13
20220523 215331	-0.910380985756638	3780	158	16	5	8748000	14
20220523 215358	-0.329934869345743	6494	526	11	5	8084000	15
20220523 215434	-0.423956626583822	1362	99	14	5	9732000	16
20220523 215502	-0.999907657082722	708	240	7	5	10511000	17
20220523 215529	-0.999034739383404	1526	1	8	5	9052000	18
20220523 215549	0.0257935995253258	956	478	9	5	0	19
20220523 215627	-0.83279465774538	604	302	17	5	9764000	20
20220523 215716	-0.44378291062276	3654	1	20	5	7982000	21
20220523 215731	-0.927290499198491	1142	571	3	5	8779000	22
20220523 215804	-0.928152399065518	656	328	11	5	9859000	23
20220523 215835	-0.792085365946548	1610	636	15	5	11045000	24
20220523 215907	-0.999097246235804	1431	714	14	5	9974000	25
20220523 215937	-0.681214033045977	1488	722	12	5	10154000	26
20220523 220009	-0.666024651733354	2161	387	15	5	10331000	27
20220523 220039	-0.850271345068547	2872	760	11	5	9751000	28
20220523 220109	-0.456257983851304	4583	328	13	5	8905000	29
20220523 220151	-0.750245036824805	56	23	13	5	5694000	30
20220523 220223	-0.533803438310843	1534	588	18	5	10791000	31
20220523 220301	-0.755420010525433	1502	112	19	5	9747000	32
20220523 220333	-0.818238923820295	1596	643	17	5	10856000	33
20220523 220406	-0.38540299200155	1669	419	17	5	10903000	34
20220523 220429	-0.98193478086775	5483	534	7	5	8468000	35
20220523 220457	-0.953284402258199	1172	586	8	5	10502000	36
20220523 220530	-0.778866202115108	1569	489	16	5	10388000	37
20220523 220601	-0.467309158739752	1939	676	15	5	10384000	38
20220523 220637	-0.383276314502041	1214	253	20	5	10695000	39
20220523 220708	-0.849518799551946	1786	886	12	5	10301000	40
20220523 220746	-0.348280328750976	1804	121	18	5	10306000	41
20220523 220819	-0.823260554983863	1237	618	20	5	10616000	42
20220523 220852	-0.396436782946328	1377	682	19	5	10094000	43
20220523 220926	-0.450192510558271	1748	309	19	5	10793000	44
20220523 220957	-0.840257675001692	1675	632	14	5	11120000	45
20220523 221011	-0.210929960787394	4856	1995	3	5	7831000	46
20220523 221039	-0.998719587707964	1941	335	8	5	10348000	47
20220523 221112	-0.383561940878789	2644	372	16	5	9955000	48
20220523 221142	-0.810392678767646	2035	635	14	5	10179000	49
20220523 221215	-0.85435650869804	1442	698	15	5	10060000	50
20220523 221251	-0.575194627370586	839	274	20	5	10152000	51
20220523 221321	-0.94801299696924	1637	645	10	5	10960000	52
20220523 221352	-0.644317380239333	1674	671	20	5	11149000	53
20220523 221415	-0.999074314198338	2536	444	6	5	10199000	54
20220523 221446	-0.952400243317226	1671	832	20	5	10046000	55
20220523 221524	-0.999959720038172	885	219	20	5	9811000	56
20220523 221555	-0.598830638425048	1675	627	15	5	11120000	57
20220523 221626	-0.640955808905554	2511	226	10	5	10140000	58
20220523 221658	-0.999117176175993	3032	252	11	5	9974000	59
20220523 221723	-0.792791985234294	5190	1998	14	5	8094000	60
20220523 221737	-0.491673866107929	3026	10	3	5	8545000	61
20220523 221750	-0.999851327508476	4229	729	3	5	8734000	62
20220523 221803	0.0999277523940427	4076	640	11	5	0	63
20220523 221836	-0.564851507283775	5556	194	17	5	8410000	64
20220523 221910	-0.602810702176549	3194	109	14	5	9124000	65
20220523 221929	-0.633026551188677	5008	43	5	5	8485000	66
20220523 221952	-0.999486662321541	3449	1539	7	5	8927000	67
20220523 222023	-0.649249024233469	1657	651	18	5	10981000	68
20220523 222054	-0.52918680017833	1631	637	20	5	11007000	69
20220523 222125	-0.61057080641581	1784	877	20	5	10209000	70
20220523 222158	-0.631192400152459	1662	347	20	5	10787000	71
20220523 222231	-0.998825225841164	6913	3	12	5	7937000	72
20220523 222302	-0.509331426632934	1683	513	14	5	10634000	73
20220523 222358	-0.392486276616088	550	1	20	5	8806000	74
20220523 222420	-0.583300895925514	1825	584	6	5	10834000	75
20220523 222452	-0.577205945908141	1732	544	20	5	10939000	76
20220523 222507	-0.607504647009561	2060	571	3	5	8779000	77
20220523 222538	-0.581370351031965	1535	672	12	5	10830000	78
20220523 222616	-0.976590459398212	2382	41	14	5	8393000	79
20220523 222637	-0.53697103757604	5070	1612	6	5	8066000	80
20220523 222706	-0.999935109638573	3182	1165	20	5	8879000	81
20220523 222735	-0.579827459047753	1713	610	9	5	11100000	82
20220523 222759	-0.252816943078722	5354	5	7	5	8156000	83
20220523 222826	-0.31165535112502	5082	1467	20	5	8204000	84
20220523 222910	-0.572255959194489	1158	41	20	5	7930000	85
20220523 222934	-0.418134539691343	1658	234	6	5	10571000	86
20220523 222958	-0.439837451616818	3296	935	7	5	9328000	87
20220523 223022	-0.999318331013957	3114	997	7	5	9749000	88
20220523 223048	-0.999559964898658	6028	1368	11	5	7874000	89
20220523 223120	-0.23887545656499	8000	109	20	5	7836000	90
20220523 223150	-0.74706883493654	1685	278	9	5	10611000	91
20220523 223204	-0.681000009785608	8000	146	3	5	8134000	92
20220523 223227	-0.511594778493833	1727	862	6	5	10147000	93
20220523 223255	-0.155656399327694	3658	1828	20	5	8376000	94
20220523 223321	-0.998539537996152	3614	1806	20	5	8393000	95
20220523 223336	-0.999536818480595	8000	848	3	5	8134000	96
20220523 223412	-0.385622648526827	1795	281	14	5	10759000	97
20220523 223446	-0.748158680119641	1676	619	20	5	11114000	98
20220523 223519	-0.99952977606876	1646	602	12	5	10980000	99
20220523 223542	-0.999033699321037	7999	1994	20	5	8134000	100
20220523 223614	-0.828514991852207	7999	215	20	5	8076000	101
20220523 223650	-0.276992131006283	715	312	20	5	10163000	102
20220523 223703	-0.136834245318305	7996	4	3	5	8133000	103
20220523 223727	-0.643963867168129	7999	1998	20	5	8134000	104
20220523 223753	-0.164367157334443	6166	2000	13	5	8094000	105
20220523 223807	-0.441283696312088	8000	1968	3	5	8134000	106
20220523 223821	-0.160881041257379	6975	1495	3	5	7831000	107
20220523 223841	-0.440742078567183	7995	2	6	5	8108000	108
20220523 223906	-0.831048703196926	7999	1394	12	5	8134000	109
20220523 223952	-0.147416002673272	5771	2	20	5	7648000	110
20220523 224019	-0.830786716053733	1654	612	8	5	10987000	111
20220523 224046	-0.550122380118901	4007	1997	20	5	8051000	112
20220523 224119	-0.564920599519039	1681	616	15	5	11107000	113
20220523 224150	-0.827668671951432	1675	608	12	5	11100000	114
20220523 224217	-0.576957734374248	1664	630	7	5	11120000	115
20220523 224252	-0.426816649883138	771	385	20	5	9900000	116
