fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220522 094850	-0.926923958374494	3642	979	5	5	10240000	58
20220522 094912	-0.125984205281841	1270	629	6	5	10216000	59
20220522 094940	-0.181319703864938	3922	1032	13	5	10072000	60
20220522 095009	-0.557539709496997	3438	209	10	5	10111000	61
20220522 095037	-0.593609203526015	2350	1122	20	5	9393000	62
20220522 095103	-0.907429307539885	3391	1684	19	5	9512000	63
20220522 095134	-0.853239425640804	3832	458	15	5	10237000	64
20220522 095156	-0.448307268988604	2219	414	6	5	10508000	65
20220522 095219	-0.0784290775992821	4477	550	7	5	10237000	66
20220522 095243	-0.0656908219793192	6878	1998	20	5	8607000	67
20220522 095309	-0.748538514237078	2787	248	8	5	10334000	68
20220522 095329	-0.822197037117169	2334	502	5	5	10317000	69
20220522 095401	-0.746741311412038	2979	454	20	5	10379000	70
20220522 095424	-0.905898758316022	3997	522	7	5	10237000	71
20220522 095444	-0.696651627905716	1381	486	5	5	10584000	72
20220522 095458	-0.934512784598508	4688	436	3	5	8913000	73
20220522 095519	-0.999901381708635	4720	1996	6	5	9206000	74
20220522 095542	-0.737502732882595	1719	848	6	5	9877000	75
20220522 095604	-0.672186528200636	2572	283	6	5	10328000	76
20220522 095638	-0.812334473058726	3430	248	18	5	10021000	77
20220522 095658	-0.401327696644271	1407	336	5	5	10795000	78
20220522 095724	-0.999983593518818	5855	1055	17	5	9682000	79
20220522 095745	-0.535419443675489	858	346	5	5	10601000	80
20220522 095816	-0.703618351055743	2696	391	12	5	10741000	81
20220522 095847	-0.538712338079	4033	434	20	5	10237000	82
20220522 095909	-0.141656529799405	2785	193	6	5	10416000	83
20220522 095931	-0.297440602971172	1539	357	6	5	10198000	84
20220522 095959	-0.21211426459456	1107	542	8	5	10179000	85
20220522 100021	-0.870882502187924	3120	976	6	5	10087000	86
20220522 100039	-0.711425399790611	2418	3	5	5	10030000	87
20220522 100109	-0.688240345658807	1130	434	9	5	10254000	88
20220522 100138	-0.258314482410462	2830	482	10	5	10483000	89
20220522 100210	-0.10243726532216	3633	3	11	5	9899000	90
20220522 100231	-0.378997841772552	2396	425	5	5	10364000	91
20220522 100251	-0.418381246769584	930	426	5	5	10824000	92
20220522 100316	-0.408556830368825	1205	334	7	5	10101000	93
20220522 100333	-0.473350226455483	1058	524	4	5	10005000	94
20220522 100352	-0.422372454893757	4147	390	5	5	10422000	95
20220522 100420	-0.350127499363909	4956	726	15	5	10055000	96
20220522 100444	-0.410066235741129	4874	2000	20	5	9206000	97
20220522 100515	-0.698752860142597	3137	493	14	5	10255000	98
20220522 100546	-0.747176494997557	3259	360	12	5	10443000	99
20220522 100614	-0.441321233031989	4107	561	12	5	10237000	100
20220522 100643	-0.148565320661567	3590	683	17	5	10258000	101
20220522 100709	-0.953077238331466	5008	991	20	5	9834000	102
20220522 100732	-0.261960057312678	2133	611	6	5	10280000	103
20220522 100803	-0.275384879558322	2574	510	12	5	10281000	104
20220522 100819	-0.426737335920776	1262	404	4	5	9946000	105
20220522 100839	-0.168996727316625	3741	718	5	5	10258000	106
20220522 100909	-0.210895622617549	4812	188	11	5	10082000	107
20220522 100929	-0.487072015848723	936	460	5	5	10767000	108
20220522 100956	-0.87133724535453	4901	793	17	5	10055000	109
20220522 101028	-0.841969840482096	4380	11	11	5	10166000	110
20220522 101047	-0.922965912509862	7998	904	5	5	8534000	111
20220522 101108	-0.892946603262937	54	24	5	5	1e+07	112
20220522 101140	-0.689575101111978	3752	119	12	5	10386000	113
20220522 101207	-0.128697949956483	3205	1353	15	5	9281000	114
20220522 101227	-0.403738162916086	1063	519	5	5	10751000	115
20220522 101314	-0.156853649339848	3731	3	20	5	9535000	116
