fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220522 092317	-0.252632118236215	5121	1456	18	5	9249000	1
20220522 092340	-0.724241270119091	7141	825	9	5	8602000	2
20220522 092357	0.0248091742119869	2479	927	11	5	0	3
20220522 092426	-0.603267562831752	3080	510	12	5	10255000	4
20220522 092453	-0.767452807142399	4710	692	16	5	10008000	5
20220522 092512	-0.99658631610655	6548	339	6	5	9415000	6
20220522 092535	-0.531045090629777	7914	1320	16	5	8534000	7
20220522 092559	-0.186733954075316	4263	1656	20	5	9512000	8
20220522 092622	-0.404987114791584	2834	1098	7	5	9823000	9
20220522 092640	-0.0827505692941485	3922	104	5	5	10462000	10
20220522 092653	-0.812218203944212	5869	1832	3	5	8125000	11
20220522 092725	-0.470886456291191	6475	187	19	5	9415000	12
20220522 092746	-0.214187077304814	2742	658	6	5	10434000	13
20220522 092810	-0.0507435838808304	6632	1049	12	5	9415000	14
20220522 092836	-0.535399224219145	1337	453	8	5	10476000	15
20220522 092901	-0.743477606214583	4404	1897	17	5	9452000	16
20220522 092936	-0.414514723572694	3791	110	14	5	10364000	17
20220522 093001	-0.799446318733809	5112	1173	9	5	9350000	18
20220522 093014	-0.115461165065529	5609	4	3	5	8082000	19
20220522 093043	-0.448540091657848	3319	579	19	5	9965000	20
20220522 093117	-0.227538555219071	3102	157	13	5	10213000	21
20220522 093129	0.0950569679164517	7990	471	3	5	0	22
20220522 093148	-0.521764386618054	3707	2	5	5	9933000	23
20220522 093226	-0.560150764131617	2183	128	20	5	10210000	24
20220522 093251	-0.589620102379972	271	2	7	5	9850000	25
20220522 093317	-0.084800404450587	4060	1144	20	5	9743000	26
20220522 093355	-0.331710519728924	2814	2	13	5	10169000	27
20220522 093415	-0.268699420008059	760	379	5	5	10598000	28
20220522 093445	-0.199941079597188	22	11	9	5	9688000	29
20220522 093529	-0.413498562641491	90	1	14	5	8926000	30
20220522 093543	-0.283334189944898	2898	374	3	5	9019000	31
20220522 093615	-0.244443111568385	1377	686	15	5	9935000	32
20220522 093645	-0.372023250812793	5047	453	20	5	9871000	33
20220522 093703	-0.565695491211457	2476	1238	4	5	8902000	34
20220522 093752	-0.658625812285383	2052	3	18	5	9484000	35
20220522 093836	-0.50928831868687	1451	1	15	5	9386000	36
20220522 093901	-0.320002129514899	23	2	7	5	9882000	37
20220522 093935	-0.78202321833124	1092	312	13	5	9789000	38
20220522 094020	-0.606979237750653	5084	2	20	5	9688000	39
20220522 094034	-0.248201509523101	137	5	3	5	8248000	40
20220522 094100	-0.269145008942531	1958	917	8	5	10354000	41
20220522 094127	-0.0970260029949952	7963	477	13	5	8534000	42
20220522 094154	-0.143684365548175	4056	383	9	5	10422000	43
20220522 094225	-0.914718536350233	3513	386	17	5	10248000	44
20220522 094250	-0.0884831723733429	6352	1017	20	5	9652000	45
20220522 094321	-0.167960181237423	2342	329	11	5	10378000	46
20220522 094341	-0.0819760405269126	5018	1984	6	5	9054000	47
20220522 094422	-0.269625788099035	324	155	18	5	8035000	48
20220522 094447	-0.999946801198396	3949	1971	20	5	9478000	49
20220522 094516	-0.364118665218755	3604	432	11	5	10237000	50
20220522 094541	-0.329201855896729	1041	509	7	5	10396000	51
20220522 094610	-0.842063215583286	2179	1037	20	5	9951000	52
20220522 094633	-0.925896385944713	7992	1937	14	5	8534000	53
20220522 094718	-0.999861096913754	32	11	15	5	5162000	54
20220522 094737	-0.886170161849568	4477	141	5	5	10306000	55
20220522 094806	-0.898410812570855	6174	367	20	5	9680000	56
20220522 094830	-0.271799324463439	1642	393	7	5	10667000	57
