Feature	Gain	Cover	Frequency
ctrx_quarter	0.0550041770910109	0.0232031969493098	0.0194206714944042
numero_de_cliente	0.0419420997056234	0.0106253063663129	0.0337941628264209
Master_fechaalta	0.0415440338910562	0.0156310080366818	0.0269365810840465
mpasivos_margen	0.0410173990247964	0.0183452434446589	0.0183234584156243
Master_Fvencimiento	0.0306760904513401	0.0125734843723715	0.0281983761246434
mpayroll	0.0299106767896016	0.0524111555145806	0.00608953258722844
mcuentas_saldo	0.029335662340949	0.0228106335370905	0.0272108843537415
mtarjeta_visa_consumo	0.027882474614971	0.0121100544059273	0.00674786043449638
Master_mfinanciacion_limite	0.0249666644201326	0.00601049645369375	0.0224380074610489
mcaja_ahorro	0.0238570600135101	0.0105004202495855	0.0174456879526004
mrentabilidad_annual	0.0236185724209847	0.0202131820361711	0.0318191792846171
mactivos_margen	0.022163857455784	0.0173743987074574	0.0247970155804257
Visa_Fvencimiento	0.0221481960570435	0.0112678159413541	0.0300636383585692
cliente_antiguedad	0.0221250789781292	0.00965636035803225	0.0268817204301075
cliente_edad	0.0196104606587455	0.0206761288654854	0.0334649989027869
chomebanking_trx	0.0194172277890457	0.0130276574314054	0.021340794382269
Visa_msaldototal	0.0181014567680115	0.00979378388328261	0.00691244239631337
mcuenta_corriente	0.0172999106435219	0.0104706348455224	0.0226025894228659
Visa_mfinanciacion_limite	0.017269358516571	0.00943035847137209	0.0278692122010094
cpayroll_trx	0.0166697980888255	0.0262314666604001	0.00279789335088874
ccomisiones_otras	0.0161738593617813	0.0130599068348313	0.0136054421768707
mcomisiones	0.0155941461473771	0.00578475062971248	0.0154158437568576
mtransferencias_recibidas	0.0149241699562622	0.00999657103084742	0.0154158437568576
mprestamos_personales	0.0149060324771219	0.0202963975754382	0.010697827518104
cproductos	0.0139785988445999	0.00655523356774165	0.0121242045205179
mrentabilidad	0.0135120618703517	0.0138898059771049	0.0231511959622559
mcaja_ahorro_dolares	0.0133562526575014	0.023220589885989	0.0194206714944042
Visa_fechaalta	0.0123705256518596	0.00944980957222493	0.0208470484968181
ctarjeta_visa_trx	0.0120968053336783	0.00868714379295877	0.00713188501206934
mcomisiones_mantenimiento	0.0120822942264129	0.00412003884055341	0.00746104893570331
Visa_mpagominimo	0.0118559691567533	0.00642115818280202	0.010972130787799
Visa_cconsumos	0.0115339073504736	0.00698001256378781	0.00943603247750713
Visa_mconsumospesos	0.0110594190281527	0.0101204715478298	0.0161290322580645
Master_mlimitecompra	0.010664590290271	0.00457602849519602	0.0143734913320167
Visa_mpagospesos	0.00947949568778953	0.00766789354670499	0.0126179504059688
Visa_mlimitecompra	0.00937362421019322	0.00580022068061431	0.0134408602150538
ctarjeta_debito_trx	0.0092000480908072	0.00928782335528659	0.00877770463023919
mtarjeta_visa_debitos_automaticos	0.00886130123132126	0.0080595873120904	0.00850340136054422
Visa_mpagado	0.00874234809320456	0.00855494298008345	0.00702216370419135
mautoservicio	0.00855428056651913	0.00795684820140101	0.00921658986175115
mtransferencias_emitidas	0.00855263260945962	0.00545113477872148	0.010642966864165
mpagomiscuentas	0.00846960626835577	0.0172502179709397	0.00680272108843537
ctarjeta_visa_trx2	0.00797863618477598	0.00935748206668652	0.00828395874478824
Master_fultimo_cierre	0.0073139596539378	0.00747747470966756	0.00713188501206934
mcomisiones_otras	0.00654289634272681	0.00454378875451272	0.010807548825982
mcuenta_debitos_automaticos	0.00607948568884005	0.0106253305231694	0.00954575378538512
ctarjeta_debito	0.00595761984673375	0.00594901725390431	0.0100394996708361
Master_mpagospesos	0.00591463928818816	0.0232452733619594	0.0102589422865921
ctransferencias_recibidas	0.00559739094446983	0.0103826459114112	0.00905200789993417
mdescubierto_preacordado	0.00551832856844237	0.00156803121807958	0.00356594250603467
ctransferencias_emitidas	0.00503821057420817	0.0161894131001367	0.00888742593811718
cprestamos_personales	0.00491612886507931	0.0195799970077385	0.00905200789993417
ccuenta_debitos_automaticos	0.0046658199457955	0.00629811281853974	0.00608953258722844
ctarjeta_visa_debitos_automaticos	0.0042439256356072	0.00302352047310257	0.00499231950844854
Visa_msaldopesos	0.00418704622681756	0.0128338228148591	0.00773535220539829
matm	0.00418632854561792	0.00429280867823281	0.00460829493087558
cextraccion_autoservicio	0.00415996033602937	0.0048457446293764	0.00411454904542462
mextraccion_autoservicio	0.00413021255088348	0.00674977356449777	0.00504718016238754
ccallcenter_trx	0.0040369349648235	0.0173177267221113	0.00669299978055738
Master_msaldototal	0.00391519395343602	0.0025666225206556	0.00521176212420452
