fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220524 221941	499	6	131	4	5	9801000	1
20220524 222134	297	6	45	13	5	11321000	2
20220524 222357	209	10	150	15	5	11064000	3
20220524 222956	902	11	110	8	5	11916000	4
20220524 223109	707	2	49	9	5	5822000	5
20220524 223846	1220	4	117	25	5	10654000	6
20220524 223943	1028	1	209	5	5	0	7
20220524 224441	570	8	160	16	5	11389000	8
20220524 224637	628	14	191	2	5	10597000	9
20220524 224822	148	9	24	19	5	11206000	10
20220524 230217	1076	13	177	17	5	11604000	11
20220524 230716	1163	5	76	12	5	10712000	12
20220524 231310	332	15	235	22	5	10974000	13
20220524 232725	857	12	15	23	5	11244000	14
20220524 233029	758	3	222	20	5	10153000	15
20220524 233219	390	8	83	7	5	11504000	16
20220524 234102	1250	9	1	11	5	11867000	17
20220524 234653	696	13	1	10	5	11262000	18
20220524 235341	898	6	1	19	5	10979000	19
20220524 235437	100	5	250	25	5	10724000	20
20220524 235753	1250	11	1	2	5	10531000	21
20220525 000347	840	9	69	11	5	11619000	22
20220525 001320	1250	12	250	10	5	11608000	23
20220525 002451	1250	11	84	13	5	11724000	24
20220525 004418	1250	11	250	23	5	11648000	25
20220525 005414	1250	15	133	9	5	11642000	26
20220525 011943	1250	15	145	25	5	10877000	27
20220525 012747	1250	12	117	8	5	11747000	28
20220525 013415	1204	8	1	9	5	11493000	29
20220525 014839	1250	9	171	20	5	11573000	30
20220525 015125	458	10	1	8	5	11472000	31
20220525 015919	1250	10	129	9	5	11839000	32
20220525 020544	823	15	250	9	5	11379000	33
20220525 022415	1250	15	1	18	5	11078000	34
20220525 023423	731	11	250	20	5	11478000	35
20220525 024238	1108	11	149	10	5	11595000	36
20220525 025439	1250	9	37	16	5	11335000	37
20220525 031429	1250	13	250	21	5	11522000	38
20220525 032604	1159	7	250	22	5	11024000	39
20220525 032652	100	5	110	20	5	10641000	40
20220525 033323	459	9	185	25	5	11018000	41
20220525 033658	666	10	250	7	5	11599000	42
20220525 035059	1250	14	250	14	5	11557000	43
20220525 035147	100	15	97	7	5	11629000	44
20220525 035326	100	14	90	19	5	10717000	45
20220525 035904	884	15	64	7	5	11327000	46
20220525 035942	100	11	115	6	5	11376000	47
20220525 040707	1250	10	81	8	5	11862000	48
20220525 041702	1250	9	249	13	5	11622000	49
20220525 042329	591	15	125	13	5	11242000	50
20220525 042441	158	13	250	8	5	11438000	51
20220525 043900	1250	10	248	18	5	11665000	52
20220525 043945	100	7	250	12	5	11023000	53
20220525 044425	882	10	112	7	5	12050000	54
20220525 044845	890	9	117	7	5	11803000	55
20220525 045237	730	10	110	7	5	11881000	56
20220525 045822	943	13	204	7	5	11845000	57
20220525 050815	1204	10	1	12	5	11434000	58
20220525 052011	1250	13	108	12	5	11498000	59
20220525 052618	1243	11	248	6	5	11833000	60
20220525 054342	1250	12	202	19	5	11454000	61
20220525 054808	948	10	115	6	5	11691000	62
20220525 055457	1230	11	236	7	5	11977000	63
20220525 055518	100	1	1	25	5	3868000	64
20220525 055951	664	5	250	21	5	10638000	65
20220525 060024	100	7	1	7	5	10851000	66
20220525 060756	1250	13	250	7	5	11675000	67
20220525 061244	862	11	186	7	5	11962000	68
20220525 061447	323	13	111	7	5	11532000	69
20220525 061602	100	8	250	21	5	10974000	70
20220525 062429	1250	7	110	14	5	11399000	71
20220525 064046	863	13	250	25	5	11246000	72
20220525 065451	915	15	218	19	5	11264000	73
20220525 071048	1250	8	1	25	5	11093000	74
20220525 072311	1250	11	250	14	5	11675000	75
20220525 072821	891	12	250	7	5	11937000	76
20220525 074047	885	10	113	22	5	11427000	77
20220525 074134	100	15	203	7	5	10862000	78
20220525 074236	121	15	1	8	5	9164000	79
20220525 074747	873	10	229	8	5	11674000	80
20220525 075325	895	14	100	7	5	11696000	81
20220525 080941	1247	15	90	16	5	11333000	82
20220525 081504	860	13	167	7	5	11706000	83
20220525 083217	1250	13	1	18	5	11281000	84
20220525 083913	1250	11	189	7	5	11816000	85
20220525 084438	928	10	101	8	5	11882000	86
20220525 084718	414	11	250	8	5	11980000	87
20220525 085426	1125	15	233	7	5	11602000	88
20220525 085730	509	12	250	7	5	11675000	89
20220525 090124	421	8	1	17	5	11350000	90
20220525 090318	295	9	101	9	5	11567000	91
20220525 090451	253	11	250	7	5	11693000	92
20220525 090823	391	7	102	19	5	11147000	93
20220525 091325	399	13	250	16	5	11291000	94
20220525 092044	1066	14	237	8	5	11659000	95
20220525 092242	108	11	1	25	5	10601000	96
20220525 092518	361	6	180	17	5	11042000	97
20220525 093004	851	11	240	7	5	12026000	98
20220525 094002	1250	9	112	13	5	11636000	99
20220525 100103	1250	11	87	25	5	11193000	100
20220525 100518	842	9	1	7	5	11589000	101
20220525 101015	913	10	128	7	5	12009000	102
20220525 101342	415	11	250	11	5	11850000	103
20220525 101845	854	10	126	8	5	12047000	104
20220525 103624	1250	9	250	25	5	11373000	105
20220525 104613	1250	12	18	10	5	11493000	106
20220525 104803	100	11	250	25	5	11491000	107
20220525 105259	889	11	250	7	5	11750000	108
20220525 105750	830	12	232	7	5	11843000	109
20220525 105904	437	11	241	2	5	10625000	110
20220525 110131	402	10	241	8	5	11753000	111
20220525 110812	836	5	163	25	5	10648000	112
20220525 111053	399	15	99	7	5	11938000	113
20220525 111417	567	10	86	8	5	11943000	114
20220525 111650	387	11	80	8	5	12118000	115
20220525 112128	866	10	143	7	5	11983000	116
