Feature	Gain	Cover	Frequency
ctrx_quarter	0.128232835689125	0.023487933669676	0.026588645929576
mpasivos_margen	0.0771561122122384	0.0251123253365827	0.0345960373678267
cpayroll_trx	0.0497282101244807	0.0176499046830181	0.00369571912534647
mpayroll	0.043159824611668	0.027325080610161	0.0101632275947028
mcuentas_saldo	0.0389157156906742	0.0286266272005063	0.0301817061903295
mactivos_margen	0.0324502185059535	0.0283647697429439	0.0297710707319577
mtarjeta_visa_consumo	0.0307959965932095	0.0152539848404567	0.0195051842726619
mprestamos_personales	0.0248451883053167	0.015560935012513	0.00636484960476337
mrentabilidad_annual	0.0221735294912358	0.0246548022096983	0.0263833282003901
Visa_msaldopesos	0.0215918012700363	0.0186017936310489	0.021763679293707
mcaja_ahorro	0.0214723874753605	0.0161238375237385	0.0221743147520788
Visa_msaldototal	0.0183820490404483	0.00874129985947129	0.0149881942305718
cliente_edad	0.0182948915404477	0.0243482958040115	0.0272045991171338
ctarjeta_visa_trx	0.0176822040525972	0.0179943026852949	0.0202237963248126
Master_fechaalta	0.0173469599118109	0.0248643708776626	0.0293604352735859
mcomisiones_otras	0.0169942348283151	0.0107818788245097	0.0187865722205112
mrentabilidad	0.016110612640741	0.0124056603126584	0.0196078431372549
cliente_antiguedad	0.0155505657678037	0.0132863146727961	0.0177599835745817
chomebanking_trx	0.0153994340920457	0.0124575355926851	0.0180679601683605
numero_de_cliente	0.01411926314557	0.0138024754740413	0.0221743147520788
Visa_mpagominimo	0.0140297735589403	0.011594742828917	0.0167333949286521
mcuenta_corriente	0.0137544422353641	0.0117661223751118	0.0178626424391746
Master_Fvencimiento	0.0134600638374448	0.016155869387132	0.0237141977209732
Visa_fechaalta	0.0133586994609401	0.0124780093592748	0.0211477261061493
Visa_mfinanciacion_limite	0.0131223428382927	0.0159698858931432	0.0225849502104507
mcomisiones	0.013099303903908	0.0122704779823702	0.0203264551894056
Master_mfinanciacion_limite	0.0129351075755813	0.0145545888710333	0.0228929268042295
Visa_Fvencimiento	0.0117204008044206	0.0106471654745892	0.0180679601683605
Visa_mpagospesos	0.010064614066337	0.00914411365292419	0.0138589467200493
mcaja_ahorro_dolares	0.00969639504565213	0.0205239827886424	0.0176573247099887
mtransferencias_recibidas	0.00967769773155991	0.0098024612331751	0.0166307360640591
Visa_mconsumospesos	0.00955172569610545	0.00933818579755588	0.0173493481162098
mautoservicio	0.00934590140508987	0.0179632491250339	0.021763679293707
cproductos	0.00825589983302349	0.00833526371704036	0.0112924751052253
ccomisiones_otras	0.00813459228445855	0.0148730063694997	0.0146802176367929
Master_mlimitecompra	0.00743381581379337	0.00712470436082757	0.0112924751052253
mtransferencias_emitidas	0.00738899288160257	0.0103953784879331	0.0126270403449338
Visa_cconsumos	0.00706650026941415	0.0103555252422783	0.012113746021969
mextraccion_autoservicio	0.00691598841764041	0.00724280168589264	0.012113746021969
mcomisiones_mantenimiento	0.00647802517022893	0.0145212004945332	0.00841802689662252
mtarjeta_visa_debitos_automaticos	0.00618773383849688	0.00818429238103975	0.012216404886562
ctransferencias_recibidas	0.00582942768973406	0.0113203338430192	0.00954727440714506
ccomisiones_mantenimiento	0.00563973785940333	0.017601302179966	0.00646750846935633
mpagomiscuentas	0.00545876786050305	0.0112602287139594	0.0117031105635972
