Feature	Gain	Cover	Frequency
ctrx_quarter	0.0868706736657997	0.0247890580895228	0.0290121565021963
cpayroll_trx	0.0705577812688528	0.0165356527703303	0.00469915210951068
mcaja_ahorro	0.0663899746845339	0.0146140030672576	0.0239043824701195
mtarjeta_visa_consumo	0.0548550898738616	0.0130709663203881	0.0186944529574012
mpayroll	0.0391016470368801	0.0284538884573011	0.0111349473899275
mrentabilidad_annual	0.036341117300702	0.0172669796254797	0.0258453366023087
mactivos_margen	0.0316744848772122	0.0202600420663805	0.0254367146797426
ctarjeta_visa_trx	0.0311593346223893	0.0220756767782024	0.0210440290121565
mcuentas_saldo	0.0289607278218862	0.0341538030354239	0.0340177750536316
mpasivos_margen	0.0261109922923341	0.017831491028759	0.0290121565021963
mcuenta_corriente	0.0252522928330905	0.0168412972596398	0.022474205741138
mprestamos_personales	0.0204629855510621	0.0172336165351057	0.00653795076105833
Master_fechaalta	0.0196819596605432	0.022064557396859	0.0294207784247625
cliente_edad	0.0189802051161445	0.0222602891758348	0.0271733578506487
Visa_msaldototal	0.0172174780834664	0.0104787704374093	0.0161405659413628
Visa_fechaalta	0.0162714024482625	0.0159855550135077	0.0269690468893656
Master_Fvencimiento	0.0153115357298052	0.0159284049547706	0.0206354070895904
chomebanking_trx	0.0148158949804479	0.0129145480836352	0.0191030748799673
Visa_msaldopesos	0.0141773876938371	0.01596367238759	0.0165491878639289
cliente_antiguedad	0.0140411755174343	0.0140276189307487	0.0197160077638165
Visa_Fvencimiento	0.0134842485700392	0.0130692598317033	0.0225763612217796
Master_mfinanciacion_limite	0.0126782891052235	0.0115382971105719	0.0215548064153642
Visa_mpagominimo	0.0119500229360383	0.0151235457495099	0.0198181632444581
mcomisiones_otras	0.0115439587882684	0.0117727686558648	0.0183879865154766
Visa_mconsumospesos	0.0114512040708991	0.0150336657324325	0.0228828276637042
numero_de_cliente	0.0114101762390541	0.00951197287547612	0.018285831034835
Visa_mfinanciacion_limite	0.0109761521402184	0.0138908624114512	0.0165491878639289
mcomisiones	0.0109493287156337	0.0127422125118454	0.0176728981509858
mrentabilidad	0.01061408796623	0.015170768495811	0.0157319440187966
mtransferencias_recibidas	0.0105877145358973	0.0115281274272792	0.0204310961283073
ccomisiones_otras	0.010276045472431	0.0181644244979934	0.0183879865154766
mcomisiones_mantenimiento	0.0100517007319953	0.0166368005590714	0.0106241699867198
