fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220523 233720	-0.999275155212333	7969	1967	3	5	7895000	89
20220523 233808	-0.610456711896024	2983	4	20	5	8827000	90
20220523 233837	-0.826359618685748	2614	633	10	5	10323000	91
20220523 233851	-0.999918411351388	3129	1558	3	5	8528000	92
20220523 233919	-0.393688640859561	1068	534	8	5	10246000	93
20220523 233951	-0.545130218847349	1779	726	15	5	10578000	94
20220523 234009	-0.560124030822905	418	209	4	5	9875000	95
20220523 234037	-0.999571882026127	3104	1071	15	5	9929000	96
20220523 234103	-0.655354459541018	6799	1238	20	5	8218000	97
20220523 234117	-0.471368849172906	6746	472	3	5	8319000	98
20220523 234132	-0.0838290110644563	5238	638	3	5	8564000	99
20220523 234201	-0.84642541940508	2246	1103	15	5	10224000	100
20220523 234227	-0.480914342053449	4532	1914	20	5	9004000	101
20220523 234317	-0.245839436773396	1486	3	20	5	9383000	102
20220523 234343	-0.680807466525214	1474	731	7	5	11111000	103
20220523 234358	-0.672173371646472	2462	1229	3	5	8728000	104
20220523 234430	-0.685300591881475	1422	710	11	5	11026000	105
20220523 234455	-0.670787020991626	780	388	7	5	10314000	106
20220523 234520	-0.694802996826244	1487	666	7	5	10790000	107
20220523 234552	-0.208666386750464	2338	750	20	5	10389000	108
20220523 234624	-0.457407615472473	1362	674	12	5	10912000	109
20220523 234655	-0.675773087748558	1497	731	10	5	10907000	110
20220523 234724	-0.999724962452297	2139	1068	20	5	10450000	111
20220523 234755	-0.566436867182476	3440	234	11	5	9720000	112
20220523 234821	-0.999935267226272	4986	1980	20	5	8616000	113
20220523 234835	-0.999571887434608	5235	11	3	5	8507000	114
20220523 234858	-0.919488504536081	4330	900	7	5	9575000	115
20220523 234929	-0.237195235144993	1896	906	20	5	10555000	116
