fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220523 204046	-0.252632118236215	5121	1456	18	5	8842000	1
20220523 204120	-0.724241270119091	7141	825	9	5	8176000	2
20220523 204145	0.0248091742119869	2479	927	11	5	0	3
20220523 204221	-0.603267562831752	3080	510	12	5	10392000	4
20220523 204252	-0.767452807142399	4710	692	16	5	9290000	5
20220523 204314	-0.99658631610655	6548	339	6	5	9227000	6
20220523 204340	-0.531045090629777	7914	1320	16	5	8176000	7
20220523 204409	-0.186733954075316	4263	1656	20	5	8821000	8
20220523 204433	-0.404987114791584	2834	1098	7	5	10295000	9
20220523 204454	-0.0827505692941485	3922	104	5	5	9507000	10
20220523 204508	-0.812218203944212	5869	1832	3	5	7698000	11
20220523 204543	-0.470886456291191	6475	187	19	5	9179000	12
20220523 204606	-0.214187077304814	2742	658	6	5	10149000	13
20220523 204634	-0.0507435838808304	6632	1049	12	5	9267000	14
20220523 204703	-0.535399224219145	1337	453	8	5	10867000	15
20220523 204730	-0.743477606214583	4404	1897	17	5	8707000	16
20220523 204803	-0.503213602640937	2794	302	10	5	10020000	17
20220523 204820	-0.302171939019249	3451	1	4	5	8442000	18
20220523 204850	-0.75299102013743	1247	336	8	5	10874000	19
20220523 204930	-0.0148585920570841	1283	271	20	5	10873000	20
20220523 204946	0.00499928856239928	1281	69	3	5	0	21
20220523 205030	-0.0645022540390913	783	135	20	5	9670000	22
20220523 205100	-0.642275913086758	1249	356	8	5	10899000	23
20220523 205115	0.0994618640813495	2162	348	20	5	0	24
20220523 205138	-0.587947203285556	1654	517	5	5	10672000	25
20220523 205213	-0.699702671093146	1817	40	10	5	9632000	26
20220523 205251	-0.594057685363767	504	221	11	5	8968000	27
20220523 205313	-0.636372255550598	2744	1236	5	5	9524000	28
20220523 205336	-0.147857679069617	5113	341	6	5	9290000	29
20220523 205403	-0.555470927087766	2846	185	7	5	9896000	30
20220523 205425	-0.465805375771498	1320	647	5	5	10801000	31
20220523 205459	-0.434067231193129	1532	755	13	5	10848000	32
20220523 205530	-0.409245068696624	753	309	8	5	10417000	33
20220523 205617	-0.052493805302666	4223	22	20	5	9088000	34
20220523 205633	-0.767051086596771	25	3	3	5	8374000	35
20220523 205707	-0.776948348458763	1395	681	14	5	10725000	36
20220523 205737	-0.777153892847361	2250	711	9	5	10687000	37
20220523 205811	-0.481424271516435	1607	803	19	5	10578000	38
20220523 205904	-0.0229249713965184	89	38	20	5	4024000	39
20220523 205957	-0.998125397909194	1130	8	20	5	9420000	40
20220523 210032	-0.68903318234715	1904	564	13	5	11049000	41
20220523 210047	0.0977847517715214	1764	102	13	5	0	42
20220523 210125	-0.172307502832114	1522	370	20	5	10905000	43
20220523 210206	-0.0780091846286541	1506	248	20	5	10944000	44
20220523 210238	-0.682083461626989	2222	1111	16	5	10248000	45
20220523 210317	-0.106504113254264	1229	439	20	5	10562000	46
20220523 210333	-0.998737679831731	1298	649	3	5	8445000	47
20220523 210406	-0.832299117237804	1991	995	13	5	10845000	48
20220523 210439	-0.999833991159937	3605	613	20	5	9726000	49
20220523 210517	-0.312353724397315	1280	426	20	5	10471000	50
20220523 210555	-0.164513002224503	7999	101	20	5	8097000	51
20220523 210623	-0.999994396811451	6707	1854	20	5	8549000	52
20220523 210650	-0.206913167401994	3899	636	9	5	9726000	53
20220523 210720	-0.862445039261704	2962	510	13	5	10133000	54
20220523 210733	-0.197271563866652	7232	2000	3	5	8067000	55
20220523 210754	-0.574526875909544	992	494	5	5	10676000	56
20220523 210817	-0.496667284989275	2023	1010	6	5	10793000	57
20220523 210842	-0.553374142582519	5756	1999	20	5	8492000	58
20220523 210925	-0.9256454466269	7999	1	20	5	8018000	59
20220523 210939	-0.0386041862365969	7997	2	3	5	7914000	60
20220523 211009	-0.599033972172524	1942	912	13	5	10462000	61
20220523 211040	-0.761625726361034	1910	567	18	5	11049000	62
20220523 211112	-0.900707717584934	1979	647	20	5	10846000	63
20220523 211148	-0.726962612867932	3205	143	20	5	10108000	64
20220523 211202	-0.999519440300651	8000	1645	3	5	8067000	65
20220523 211227	-0.690298099581875	1216	607	7	5	10111000	66
20220523 211258	-0.754744391583331	2046	536	14	5	10773000	67
20220523 211332	-0.65325288485643	1884	454	20	5	10806000	68
20220523 211359	-0.837395602812522	1270	469	8	5	10477000	69
20220523 211431	-0.232159878345921	1323	660	17	5	10879000	70
20220523 211503	-0.39623432267962	1937	576	19	5	10957000	71
20220523 211551	-0.216560414169301	1379	10	20	5	10033000	72
20220523 211619	-0.354600552135754	1769	882	8	5	10761000	73
20220523 211650	-0.289539395362837	1691	843	17	5	10676000	74
20220523 211707	-0.403163344722861	2186	564	4	5	9894000	75
20220523 211739	-0.381943528684568	1232	615	16	5	10115000	76
20220523 211806	-0.454473655977535	1783	872	8	5	10745000	77
20220523 211835	-0.428292872194051	3269	952	20	5	10383000	78
20220523 211906	-0.819770096892863	1936	672	20	5	10863000	79
20220523 211933	-0.955282364886611	3472	1735	9	5	8698000	80
20220523 212001	-0.349730544830003	2673	1251	20	5	9497000	81
20220523 212034	-0.551472175109132	3828	372	19	5	9663000	82
20220523 212049	-0.219702210712841	3875	1937	3	5	7698000	83
20220523 212125	-0.0502505663167531	1292	315	20	5	10696000	84
20220523 212155	-0.262642395958691	1355	669	9	5	10957000	85
20220523 212225	-0.648180234779553	1819	553	12	5	11050000	86
20220523 212250	-0.362232630139092	7019	1922	20	5	8067000	87
20220523 212322	-0.239126687598789	1604	536	13	5	10825000	88
20220523 212352	-0.9999619856458	2474	732	20	5	10324000	89
20220523 212411	-0.501007635946195	6147	989	5	5	9329000	90
20220523 212441	-0.426787335487145	1897	654	20	5	10946000	91
20220523 212506	-0.0389681446743116	7994	2000	20	5	8067000	92
20220523 212534	-0.879568348072364	3034	1194	20	5	10101000	93
20220523 212619	-0.0929201579598427	6221	1	20	5	8971000	94
20220523 212650	-0.310733313552434	1479	719	11	5	10514000	95
20220523 212721	-0.443498016937649	4689	299	13	5	9261000	96
20220523 212807	-0.988790544915745	5581	1	20	5	8951000	97
20220523 212832	-0.253726845281413	1576	758	7	5	10905000	98
20220523 212904	-0.648285197445199	1542	584	14	5	10443000	99
20220523 212936	-0.239623201276184	1563	780	20	5	10891000	100
20220523 213008	-0.686304394455035	2873	650	20	5	10149000	101
20220523 213022	-0.427589257448667	8000	226	3	5	8176000	102
20220523 213055	-0.63740667639373	5745	301	12	5	9290000	103
20220523 213125	-0.772428354857143	1895	891	12	5	10642000	104
20220523 213208	-0.774461773409282	997	390	19	5	10770000	105
20220523 213247	-0.875999295226805	2308	673	17	5	10596000	106
20220523 213324	-0.638798699277075	2002	549	8	5	10773000	107
20220523 213343	-0.851325844861581	2354	918	3	5	8362000	108
20220523 213428	-0.785434411062684	1053	336	11	5	10667000	109
20220523 213506	-0.953092470113037	1863	931	18	5	10342000	110
20220523 213549	-0.727747380400479	1890	444	19	5	10868000	111
20220523 213630	-0.667047644057327	2191	451	13	5	10351000	112
20220523 213659	-0.548961926884946	3659	1828	9	5	8733000	113
20220523 213735	-0.186736617823568	1547	765	10	5	10905000	114
20220523 213809	-0.182436621708311	1761	875	17	5	10748000	115
20220523 213837	-0.503644242003361	1216	606	6	5	10554000	116
